question,answer,category
She trained herself. + She trained her mouth and ears while learning Korean.,Elle s'est entraînée (SE ENTRAÎNER). + Elle a entraîné (ENTRAÎNER) sa bouche et ses oreilles en apprenant le coréen.,verbs
She forms her mouth better than I do.,Elle entraîne sa bouche mieux que moi.,verbs
She prefers to learn informal phrases.,Elle préfère apprendre (no preposition after PRÉFÉRER) des phrases informelles.,verbs
X is the opposite of Y.,X est le contraire de Y.; contre = against,conversation
What/which do you choose?,Qu'est-ce que vous choisissez?; remember single S is pronounced 'z' but double S is pronounced 'z',conversation
It is difficult to choose the correct verb tense.,C'est difficile DE choisir le bon temps.; Use DE - not POUR - in this situation.,conversation
What are the possessive adjectives for first person singular (e.g. my cat),mon/ma/mes ...depending on the gender and number of the word that follows,pronouns
What are the possessive adjectives for second person singular (e.g. your - informal - cat),ton/ta/tes ...depending on the gender and number of the word that follows,pronouns
What are the possessive adjectives for third person singular (e.g. her cat),son/sa/ses ...depending on the gender and number of the word that follows ...the gender of the person that 'his' refers to doesn't matter,pronouns
What are the possessive adjectives for first person plural (e.g. our cat),notre/notre/nos ...only depends on the number of the word that follows (singular vs plural),pronouns
What are the possessive adjectives for second person formal (e.g. your - formal - cat),votre/votre/vos ('voh')...only depends on the number of the word that follows (singular vs plural),pronouns
What are the possessive adjectives for third person plural (e.g. their cat),leur/leur/leurs ...only depends on the number of the word that follows (singular vs plural),pronouns
What is the difference in pronunciation between 'their child' and 'their children'?,leur enfant ('lure-uhn-fan') vs leurs enfants ('lure-zuhn-fan') - the S in leurs in silent BUT it forces us to use a liazon Z-sound and that is the only way one can hear the difference between the two phrases,pronouns
When do the standard rules for possessive adjectives not apply? ...what are the exceptions?,When the object starts with a vowel or a silent 'h' ...french avoids a double vowel so you have to use the masculine possessive adjective even if the object is feminine; e.g. his year of birth = son année de naissance ...use 'son' even though annèe is feminine because sa annèe would be a double vowel sound,pronouns
a garment + clothes,un vêtement + des vêtements ('vet-mon'); This is the same word in french: clothes = garments,vocabulary
the style of clothing,le style vestimentaire,vocabulary
an aesthetic / a design,une esthétique,vocabulary
casual (informal / relaxed),décontracté(e) OR à l'air décontré; the casual style = le style décontracté,vocabulary
Explain the difference between le mode and la mode.,LE mode is the standard and it translates to mode/style/way/fashion that is not clothing. e.g. le mode de vie = lifestyle; When you make it feminine (LA mode) then it means fasion.,vocabulary
to be dressed in fashion + to work in the fashion industry + to work in the luxury industry,s'habiller à la mode + travailler dans la mode OR fashionista + travailler dans le luxe,vocabulary
fashion week (e.g. in Paris and Milan),le Fashion Week OR la semaine de la mode,vocabulary
a clothing size + a garden of large size,une taille vêtements ('tie-vet-mon') + un jardin de grande taille; 'taille' comes from TAILLER = to cut / to prune,vocabulary
Three ways to give the size of an apartment.,1) La taille est XX mètres carrés. 2) La surface est XX mètres carrés. 3) Cette maison fait XX mètres carrés.,vocabulary
Do you have size 36?,Vous avez du 36?; always use DU before a size,vocabulary
the large size of the park,la grandeur du parc; In this case do not use taille.,vocabulary
my coat,mon manteau ...un manteau is masculine so use 'mon'; this is for a garment that is more substantial than a jacket,vocabulary
my dress,ma robe ...une robe is feminine so use 'ma',vocabulary
my shoes (not sneakers),mes chaussures ...des chaussures (f) is plural so use 'mes',vocabulary
your (informal) sweater,ton chandail ...un chandail is masculine so use 'ton',vocabulary
your (informal) skirt,ta jupe ...une jupe is feminine so use 'ta',vocabulary
your (informal) boots (up to the knee),tes bottes ...des bottes (f) is plural so use 'tes',vocabulary
her shirt,sa chemise ...une chemise is feminine so use 'sa' ...regardless of whether or not the person is male/female,vocabulary
her t-shirt,son t-shirt ...un t-shirt is masculine so use 'son' ...regardless of whether or not the person is male/female,vocabulary
her sandals,ses sandales ...des sandales (f) is plural so use 'ses',vocabulary
his tie,sa cravate ...une cravate is feminine so use 'sa',vocabulary
his suit,son costume ...un constume is masculine so use 'son'; costume can mean a man's business suit or a costume (e.g. for halloween),vocabulary
his sneakers,ses tennis ...des tennis (m) is plural so use 'ses',vocabulary
our pants,notre pantalon ...un pantalon is singular masculine in french,vocabulary
our boot, notre botte ...une botte is feminine,vocubulary
our socks,nos chaussettes ...des chaussettes (f) is plural so use 'nos',vocabulary socks
your (formal) shorts,votre short ...un short is singular masculine in french,vocabulary
your (formal) scarf,votre ècharpe ...une écharpe is feminine but the adjective is same for masc/fem,vocabulary
your (formal) shoes (not sneakers),vos chaussures ...des chaussures (f) is plural so use 'vos',vocabulary
their (they are all masculine) jeans; Specify pronunciation.,leur jean (singular masculine - not plural); Jean is pronounced as in English with a hard J (not 'zsh').; The word is only plural (les jeans) if you mean multiple pairs of jeans. But the S is silent so it sounds the same.,vocabulary
their (they are all masculine) miniskirt,leur minijupe ...une minijupe is feminine but adjective is same for masc/fem: 'leur',vocabulary
their (they are all masculine) sneakers,leurs tennis ...des tennis (masculine) is plural so use 'leurs',vocabulary
their (they are all feminine) bathing suit,leur maillot (de bain) ...un maillot (de bain) is masculine but adjective is same for masc/fem: 'leur',vocabulary
their (they are all feminine) nightgown,leur chemise de nuit ...une chemise de nuit is feminine but adjective is same for masc/fem: 'leur',vocabulary
their (they are all feminine) high-heeled shoes,leurs chaussures à talons ...des chaussures (f) à talons is plural so use 'leurs',vocabulary
What is an independent possessive pronoun?,An independent possessive pronoun is a shortcut for showing ownership where the pronoun stands on its own instead of being an adjective to the noun that is possessed. For example: This is my cat. 'my' is a possessive pronoun. 'cat' is the noun being possessed (by me). BUT... This cat is mine. 'mine' is the independent possessive pronoun - you could eliminate the cat entirely: It is mine.,pronouns
How do you construct the independent possessive pronouns in french? (e.g. mine),There are two ways to express these in french. In both cases you need a second word. 1) DEFINITE ARTICLE + non-generic posessive pronoun: e.g. C'est mien. = It's mine. ...if the noun (that is owned) is singular/masculine. Both the article and the possessive pronoun change to adapt to the gender and number of the noun being owned. 2) À + generic pronom tonique: e.g. La chat est à moi. = The cat is mine. These pronouns do not adapt to the number and gender of the possessed noun.,pronouns
What are all the forms (masc sing + fem sing + masc pl + masc pl) of the possessive pronouns that mean 'mine'?,LE mien + LA mienne + LES miens + LES miennes; Do not forget the definite article. Choose the correct form based on the gender and number of the noun being possessed.,pronouns
What are all the forms (masc sing + fem sing + masc pl + masc pl) of the possessive pronouns that mean 'yours' (informal)?,LE tien + LA tienne + LES tiens + LES tiennes; Do not forget the definite article. Choose the correct form based on the gender and number of the noun being possessed.,pronouns
What are all the forms (masc sing + fem sing + masc pl + masc pl) of the possessive pronouns that mean 'his/her/its'?,LE sien + LA sienne + LES siens + LES siennes; Do not forget the definite article. Choose the correct form based on the gender and number of the noun being possessed.,pronouns
What are all the forms (masc sing + fem sing + masc pl + masc pl) of the possessive pronouns that mean 'ours'?,LE nôtre + LA nôtre + LES nôtres (m/f plural); NB: For nous + vous + ils/elles forms the plural possessive pronoun is the same regardless of the gender of the thing that is owned.; Do not forget the definite article. Choose the correct form based on the gender and number of the noun being possessed.,pronouns
What are all the forms (masc sing + fem sing + masc pl + masc pl) of the possessive pronouns that mean 'yours' (formal)?,LE vôtre + LA vôtre + LES vôtres (m/f plural); NB: For nous + vous + ils/elles forms the plural possessive pronoun is the same regardless of the gender of the thing that is owned.; Do not forget the definite article. Choose the correct form based on the gender and number of the noun being possessed.,pronouns
What are all the forms (masc sing + fem sing + masc pl + masc pl) of the possessive pronouns that mean 'theirs'?,LE leur + LA leur + LES leurs (m/f plural); NB: For nous + vous + ils/elles forms the plural possessive pronoun is the same regardless of the gender of the thing that is owned.; Do not forget the definite article. Choose the correct form based on the gender and number of the noun being possessed.,pronouns
The dresses are mine.,Les robes sont LES miennes (pl fem).,pronouns
The dresses are yours (informal).,Les robes sont LES tiennes (pl fem).,pronouns
The dresses are his/hers.,Les robes sont LES siennes (pl fem).,pronouns
The dresses are ours.,Les robes sont LES nôtres (pl same for m/f).,pronouns
The dresses are yours (formal).,Les robes sont LES vôtres (pl same for m/f).,pronouns
The dresses are theirs.,Les robes sont LES leurs (pl same for m/f).,pronouns
It is my pen . + The pen is mine.,C'est mon stylo. + Le stylo est LE mien (masc sing).,pronouns
It is your lamp. + The lamp is yours (informal).,C'est ta lampe. + La lampe est LA tienne (fem sing).,pronouns
Which book is yours (formal AND informal)?,Quel livre est LE vôtre? + Quel livre est LE tien? (masc sing),pronouns
The pens are his/hers. + The jackets are his/hers.,Les stylos sont LES siens (masc pl). + Les vestes sont LES siennes (fem pl).,pronouns
The hat is theirs. + The scarf is theirs. + The carpets are theirs.,Le chapo est LE leur (masc sing). + La ècharpe est LA leur (fem sing). + Les tapis sont LES leurs (plural).,pronouns
They have different interests that mine (than I do).,Ils ont des intérêts différents des miens.; différent(e): It means various when placed before the noun. It means more than one when placed after the noun.,pronouns
shorts,un short ...singular in french,vocabulary
pajamas,un pyjama ...singular in french,vocabulary
a sweater,un pull; without buttons - it pulls over the head,vocabulary
a cardigan / button-up sweater,un gilet,vocabulary
a shirt,une chemise,vocabulary
a blouse,un chemisier,vocabulary
a hat (with structure) + a soft hat (like a ski cap),un chapeau ('shapo') + un bonnet,vocabulary
a helmet (like for cycling or skiing),un casque,vocabulary
a raincoat + a hood,un imperméable + une hotte (no liaison; the H is slightly aspirated); NB: hotte aspirante = a hood in a laboratory or above a stovetop in a kitchen,vocabulary
a jacket + a ski jacket,une veste + un anorak,vocabulary
a suit,The words are different depending on who is wearing it: 1) for a man: un costume 2) for a woman: une combinaison OR un ensemble,vocabulary
a tuxedo,un smoking,vocabulary
an outfit (clothing),un tenue,vocabulary
a costume (e.g. for halloween) + an animal costume,un costume + un costume animal; This is the same word used for a man's suit.,vocabulary
the sneakers,les baskets,vocabulary
the shoe laces,les lace ('la-say'),vocabulary
a bootie (boot at ankle),une bottine,vocabulary
a bikini,un maillot de bain deux pièces OR un bikini; le soutien gorge = the top of a bikini; la culotte = the bottom of a bikini,vocabulary
swim shorts + a speedo,un short + un slip de bain,vocabulary
a swimsuit,un maillot de bain,vocabulary
the swimming cap,le bonnet de bain,vocabulary
the swimming goggles,des lunettes de natation,vocabulary
underwear,sous vêtements OR un caleçon (singular in french),vocabulary
a bra,un soutien-gorge,vocabulary
panties,un slip,vocabulary
pantyhose / tights,un collant ...singular in french; collant(e) also means sticky,vocabulary
stockings,des bas ...plural in french too but 'bas' is masculine if forced to use in the singular form,vocabulary
boxer shorts,un boxer-short ...singular in french,vocabulary
an undershirt,un maillot de corps,vocabulary
a purse + a backpack,un sac à main + un sac à dos; un sac = any type of bag,vocabulary
eyeglasses + sunglasses,des lunettes ('loo-net') + des lunettes a soleil,vocbaulary
jewelry + an accessory,des bijoux + une accessoire,vocabulary
a box + a jewelry box,une boîte + une boîte à bijoux; When boîte is used in this way it is feminine. The article changes the meaning. le boîte = a club/discothèque. la boîte = an actual box OR a society / organization.,vocabulary
an earring,une boucle d'oreille; la boucle = the loop,vocabulary
a necklace,un collier; un pendentif = a pendant necklace,vocabulary
a bracelet,un bracelet,vocabulary
a ring (with stones) + a ring (solid band),une bague + une anneau,vocabulary
a hair clip + a headband,une barette + un serre tête,vocabulary
a bow (on a gift or in the hair),un nœud; The literal translation is 'knot' but this word is used for decorative bows.,vocabulary
a men's tie,une cravate; This is only used for the classic long tie. The word for bowtie (un nœud papillon) is totally different.,vocabulary
a bowtie,un nœud papillon OR un nœud pap (for short); un nœud = a knot (but also used for decorative bows); un papillon = butterfly; Do not use the word cravatte when describing a bowtie.,vocabulary
striped,avec des bandes,vocabulary
a pattern + a patterned tie,un motif + une cravate à motifs; un motif can also mean a cause (of something),vocabulary
to find a pattern (e.g. in data),There is not a great translation for pattern when you don't literally mean the design on a piece of fabric (un motif). Some options: chercher un thème / un modèle / une matrice / un schéma.,vocabulary
a golden belt,une ceinture dorée,vocabulary
a hole + an asshole (a person),un trou + un trou du cul (the meaning is closer to jerk than asshole - not as strong as in english),vocabulary
a line + a parade,une ligne + un défilé,vocabulary
a column + a row,une colonne + une rangée OR un rang (in a theater); au premier rang = in the front row,vocabulary
a shape + a style,une form + un style,vocabualry
a circle + round,un rond + rond(e); Alternatives to round: de forme arrondie + incurvé(e),vocabulary
a square + squarish,un carré + carré(e),vocabulary
a rectangle + rectangular,un rectangle + rectangular/rectangulaire,vocabulary
a triangle,un triangle + triangulaire,vocabulary
pi (the irrational number); Specify pronunciation.,le pi ('pee'); trois virgule quatorze (not trois virgule un quatre),vocabulary
The object is modern + original + iconic (some descriptor of style),L'object EST modern(e) + original(e) + iconique.,vocabulary
The object is round + squarish + triangular.,L'object (masculine) EST DE FORME arrondie + DE FORME carré + DE FORME triangulaire.,vocabulary
The object is made of wood + of metal.,L'object EST EN bois + EN métal.,vocabulary
The photo was taken in 1982 + the 2000s.,La photo date DU (de + le) 1982. + La photo date DES années 2000.; The formula is: Subject + DATE DE + date or time frame.; Literally: The photo (or some object) dates from...,vocabulary
The object is from the middle ages + the 19th century.,L'object date DU (de + le) Moyen Âge. + L'object date DU 19ème siècle.; The formula is: Subject + DATE DE + date or time frame.,vocabulary
parallel + perpendicular,parallèle ('pa-ra-Lehl'; LL sounds like L in this case - not Y) + purpendiculaire,vocabulary
5 masculine and feminine endings for professions,-ien/-ienee + -teur/-trice + -eur/-euse + -er/-ére + -e/-e,vocabulary
She is an actress.,; Elle est actrice.; NB: use être for profession and we do NOT use an article when describing a profession or status (NOT elle est une actrice.),vocabulary
a server or waiter (masc + fem),serveur / serveuse ('sehr-vooZ'); The S sounds like a Z because it is between two vowels.,vocabulary
a bartender (masc + fem),un(e) barman OR un(e) mixologue (for mixologist); In both cases the masculine and feminine versions are spelled the same.; NB: oenologue = a person who studies wine,vocabulary
an expert + a master (masc + fem),un(e) spécialiste OR expert(e) + un(e) maître (same m/f),vocabulary
a comedian (masc + fem),comédien / comédienne,vocabulary
a film director (masc + fem),un réalisateur / une réalisatrice,vocabulary
a nurse (masc + fem),un infirmier / une infirmière,vocabulary
a journalist (masc + fem),un(e) journaliste; When the masculine version ends in E then the feminine version is the same form.; un(e) editorialiste = a person who write editorials,vocabulary
a reporter (masc + fem),un(e) reporter,vocabulary
a scientist (masc + fem),scientifique (same m/f),vocabulary
a singer (masc + fem),un chanteur / une chanteuse,vocabulary
a thief (masc + fem),un voleur / une voleuse,vocabulary
a delivery person,un livreur,vocabulary
a handyman/woman (masc + fem),un bricoleur / une bricoleuse,vocabulary
a repairman/woman (masc + fem),un réparateur / une réparateuse,vocabulary
a plumber (masc + fem),un plombier / une plombière,vocabulary
the plumbing,la plomberie; les égouts de Paris = the system of plumbing underneath Paris to drain rainwater etc.,vocabulary
a baker (masc + fem),un boulanger / une boulangère,vocabulary
a cook (masc + fem),un cuisinier / une cuisinière; a very good cook = un très bon cuisinier,vocabulary
an engineer (masc + fem),un ingénieur / une ingénieure OR développeur/développeuse; programeur/programmeuse is an outdated term; NB: Ingénieur/ingéniere is an exception. Given the spelling of the masculine version we would expect the feminine version to end in -euse instead of -eure.,vocabulary
a lawyer (masc + fem),un avocat(e),vocabulary
an accountant (masc + fem),un(e) comptable ('koh-Tahbl'). Do NOT pronounce the P!; When the masculine version ends in E then the feminine version is the same form.; Comptabilise is an adjective that means 'accounted for'.,vocabulary
a tourist (masc + fem),un(e) touriste (same m/f) OR un voyageur / une voyageuse OR un vacancier / une vacancière; alternative: le tourisme de masse,vocabulary
an academic,un(e) universitaire OR chercheur/chercheuse (m/f); The latter refers to researchers.,vocabulary
a professor (masc + fem),un professeur / une professeure; The feminine version is an exception. Given the spelling of the masculine version we would expect the feminine version to end in -euse instead of -eure.; an exam proctor = un(e) examinateur/examinatrice,vocabulary
a teacher (masc + fem),un enseignant / une enseignante; a person who teaches young children in school = professeur(e) de primaire OR formateur / formatrice.,vocabulary
the faculty,le fac,vocabulary
a student (masc + fem),un étudiant / une étudiante (t is not pronounced in masculine version but is pronounced lightly and upward in the feminine version) OR l’élève for male or female student in the lower grades (e.g. elementary school); Use étudiant(e) for a university student.,vocabulary
an alumni,un ancien / une ancienne élève/étudiante; literally: old student,vocabulary
a translator (masc + fem),un traducteur / une traductrice; the verb 'to translate' = traduire,vocabulary
an architect (masc + fem),un(e) architecte; When the masculine version ends in E then the feminine version is the same form.,vocabulary
a police officer (masc + fem),un policier / une policière,vocabulary
a fireman (masc + fem),un pompier / une pompière,vocabulary
a citizen (masc + fem),un citoyen / une citoyenne,vocabulary
a tennis player (masc + fem); Specify spelling.,un joueur ('zshoo-ehR')/ une joueuse ('zshoo-oos') de tennis; There are four vowels! OUEU.; The R is pronounced at the end of the masculine version.,vocabulary
How are these words pronounced differently? toy + player + day + toy,a toy = un jouet ('zshoo-AY'; compound vowel sound); a male player = un joueur ('zshoo-EHR'; compound vowel sound and the R is pronounced at the end); a day = un jour ('zshOOR'; one vowel sound); A compound vowel sound is like how the word 'our' is pronounced in English. The word is one syllable but you actually hear two vowel sounds. The vowels run together a bit but you hear them both.; If you pronounced jouer as a single syllable then it would be indistinguishable from the word for day (jour).,pronunciation
a dancer (masc + fem),un danseur / une danseuse,vocabulary
an actor (in a film) + an actor (of the stage),un acteur / une actrice + un comedien / une comedienne; NB: a comedian (who tells jokes) = un(e) comique (qui faire le stand-up); une vedette (de films) = a diva,vocabulary
a painter (masc + fem),un(e) peintre; When the masculine version ends in E then the feminine version is the same form.,vocabulary
a sculpture + a sculptor + to sculpt; Specify pronunciation.,The P is never pronounced: une sculpture ('skool-toor') + un(e) sculpteur/sculptrice + sculpter ('skool-tay'),vocabulary
an artist + an artisan (masc + fem),un(e) artiste + un(e) artisan(e); When the masculine version ends in E then the feminine version is the same form.; un(e) plasticien(ne) = an artist that might use many kinds of techniques and mediums. This is often the case with many new artists.,vocabulary
a photographer (masc + fem),un(e) photographe; Watch out. un(e) photographe = photographer. une photo = a photograph.,vocabulary
a musician (masc + fem),un(e) musicien(ne),vocabulary
a writer (masc + fem),un(e) écrivain(e); B: écrivain(e) = a writer of novels (fiction). auteur(e) = writer of a paper or non-fiction book.,vocabulary
an author (masc + fem),Two options: 1) More modern: un(e) auteur(e)  2) More traditional: un auteur / une autrice; NB: écrivain(e) = a writer of novels (fiction). auteur(e) = writer of a paper or non-fiction book.,vocabulary
a reader (of a book or other writing)... when you refer to the audience,un lecteur / une lectrice,vocabulary
an editor (masc + fem),un rédacteur / une rédactrice,vocabulary
a freelancer (masc + fem),un(e) pigiste,vocabulary
an archeologist (masc + fem),un(e) archéologiste; When the masculine version ends in E then the feminine version is the same form.,vocabulary
a mayor (masc + fem); Specify pronounciation.,un(e) mair(e); Pronounced 'mer' which is the same as mère (mother).,vocabulary
a government worker (masc + fem), un(e) fonctionnaire; When the masculine version ends in E then the feminine version is the same form.,vocabulary
a customer + a consumer (masc +fem),un(e) client(e) + un consommateur / une consommateuse,vocabulary
consumer-facing (a job or business that interacts with individual customers),faire face au grand public; faire face à = facing; le grand public = the public,vocabulary
a salesperson (masc + fem),un vendeur ('von-dur') / une vendeuse ('von-dooz') OR un(e) marchand(e); NB: a buyer = un acheteur / une acheteuse; avoir la fière achetuese = to be a compulsive shopper,vocabulary
a person who works with customers in a very small business (e.g. a market stand or boutique) + a person who works with clients in a store or larger business (e.g. retail of B2B),un(e) commercial(e) + un(e) commerçant(e); When a french word ends in -CIAL pronounce it the same as the word for sky: ciel.,vocabulary
a wholesaler + a retailer,un(e) grossiste + un(e) détaillant(e),vocabulary
a real estate agent (masc + fem),un(e) agent(e) immobilier(e); 'ee-mobe-uh-lee-ay' but you can probably drop the middle syllable; a real estate agency = une agence immobilière,vocabulary
a real estate market,un immobilier,vocabulary
a landlord/owner (masc + fem),un(e) propriétaire; When the masculine version ends in E then the feminine version is the same form.,vocabulary
caretaker + superintendent (masc + fem),un(e) gardien(ne) + un(e) surintendant(e); Gardien is a 'faux ami'. It does not mean guardian.,vocabulary
a tenant / renter (masc + fem),un locataire + une locatrice,vocabulary
a roomate (masc + fem),un colocataire + une colocatrice; en colocation = living with roomates; un(e) 'coloc' = short for roomate,vocabulary
to own,posséder; The literal translation is 'to possess' and so this verb can be used more broadly in french compared to english. e.g. Je possède (accent changes) un chat. = I own a cat. La maison ne possède pas de cave. = The house does not have a basement.,verbs
to rent an apartment + the rent (that you pay),louer ('loo-ay'; There is only one Y sound.) un appartement + le loyer ('lwa-yay'; There are two Y sounds.),verbs
to sublet an apartment,sous-louer,verbs
for rent + for sale,à louer ('loo-ay') + à vendre,vocabulary
to allocate (money to something),allouer; The base is louer (= to rent a property).,verbs
What is the difference between une location and une localisation?,une location = a rental property; une localisation = a location; un localisateur de GPS = an airtag or similar tracking device,vocabulary
a rental contract + a subcription contract (like for a service),un contrat de location + un contrat d'abonnement / un abonnement; un abonnement annuel = a yearly subscription,vocabulary
the deposit (the money you give up front when renting an apartment),la caution OR la somme d'argent,vocabulary
We rent our apartment to our friends.,On loue notre appartement À nos amis.,vocabulary
We rent our apartment from our friends.,On loue notre appartment DE nos amis.,vocabulary
to make a deposit (to a bank account) + to make a withdrawal (from a bank account),faire un dépôt + faire un retrait,vocabulary
to be overdrawn (in a bank account),être à découvert,vocabulary
the limit on a bank account,un plafond,vocabulary
an ATM,un distributeur de billets,vocabulary
a building,There are two words: 1) le bâtiment is any structure including a house + an apartment building + a store... it is the larger category; 2) un immeuble ('ee-mobl'): a residential building where multiple families live or where there are multiple offices. ...it is the smaller category; immeuble is pronounced 'ee-mobl' (instead of 'uh-mobl') because there is a double consonant following the I.,vocabulary
the housing,le logement; This is a good alternative to un appartement and une maison.,vocabulary
a storage unit,un entrepôt de stockage ('stoh-kahj'),vocabulary
a property (real estate or otherwise),une propriété OR un bien; NB: la foncier = an administrative term meaning the property / the land. You might see used to designate a type of tax.,vocabulary
a business + business (in general),une commerce + des affaires; NB: des affaires can also refer to personal effects.,vocabulary
an event/case,une affaire; Be careful because 'des affaires' means business (in general) or personal effects.,vocabulary
a studio apartment,un studio ('stoo-deeoo'; two deep U sounds); une studette is a studio apartment that is very small (typically for students); Suffixes -ET (masculine) and -ETTE (feminine) indicate a very small version of the noun.,vocabulary
the tiny studios on the top floor of Haussman buildings in Paris,la chambre de bonne; These appeared starting around 1830s. The domestiques (house servants - also called 'un bon') lived here and served the wealthy families in the floors below.,vocabulary
a house,une maison ('may-Zon') OR une baraque (a very familiar term for a family house); The S sounds like a Z here because the S is between two vowels.,vocabulary
a villa; Specify the pronunciation.,une villa; Pronunciation is an exception. LL is pronounced like an english L (instead of Y). Same exception as une ville (a city).,vocabulary
a large home in the country,chalet or maison de campagne,vocabulary
a skyscraper,une tour (tower) / un gratte-ciel (sky-scratcher); gratter = to scratch,vocabulary
to scrape / to scratch,gratter; Alternative: griffer = to scratch specifically when an animal scratches another animal or a person with their claws,vocabulary
a tower + a tour (like a walking tour),une tour (feminine = tower) + un tour (masculine = tour); faire un tour = to go on a tour (of a site),vocabulary
I went a tour of the yacht.,J'ai fait un tour le yacht ('yo').,vocabulary
a factory,une usine,vocabulary
a cabana / hut,une cabane / une hutte,vocabulary
a boathouse,une peniche,vocabulary
a tent,une tente ('tont'),vocabulary
What do these apartment codes mean in France? F1 + F2 + F3,F1 = studio; F2 = 1 bedroom; F3 = 2 bedroom,vocabulary
a corner (of a room),un coin; e.g. aux quatre coins du monde = in the 4 'corners' of the world; This can be used to describe a part of the neighborhood. But it cannot be used to describe the corner that two steets make: un angle.,vocabulary
a corner (in a road),un angle; un angle mort = a blind corner; Do not use 'un coin' to describe the corner of streets. It means something closer to 'area' (like the corner of a room or a part of a neighborhood).,vocabulary
a room,une pièce ('PEE-ays') very quickly almost on syllable...apartments are advertised by count of total rooms sans kitchen; so 3 pièce is likely 1 or 2 bedrooms plus a main room and maybe a dining room; la chambre is only used to indicate a bedroom,vocabulary
a room with its own bathroom,une pièce avec SA PROPRE salle de bain.; SA PROPRE + NOUN = his/her own something,vocabulary
the bedroom + the guestroom,la chambre (shombr) + la chambre d'amis; Technically a chambre is any room with walls and a door. So it could be a room in an apartment that is being used as an office but could be used as a bedroom in the future.,vocabulary
the kitchen,la cuisine (same pronunciation as in english) ...une cuisine américaine means kitchen open to another room (not galley or separate room),vocabulary
the bathroom (with shower),la salle de bains (sal-duh-bah) ...when it's more than just a toilet,vocabulary
the bathroom (small; toilet only),WC; when asking for the bathroom in a restaurant: les toilettes; les cabinets is another word used for toilets but it has many meanings.,vocabulary
the dining room,la salle à manger,vocabulary
the living room,le salon / la salle de séjour,vocabulary
the ballroom,la salle de bal,vocabulary
the office,le bureau; This can mean 1) the office of a business (not the retail location - but the place where all employees go to work) 2) a home office 3) a desk; The word cabinet is close to office but it really means an association instead of a physical place e.g. cabinets d'avocats = assocciation of lawyers; headquarters = le siège social,vocabulary
a service + customer service,un service + le service clientéle,vocabulary
the cellar / the basement,la cave / le sous-sol,vocabulary
the insulation (in a building),la isolation; bien/mal insolé(e) = well/poorly insulated; Watch out because there are faux amis. isolé(e) = isolated. le isolement = the isolation. la insolation = exposure to heat.,vocabulary
the pipes (in a building) + the pipe,les canalisations + le tuyau; Un pipe exists in french but it means a smoking pipe.,vocabulary
the cold storage (outer compartment for keeping food and supplies),l'entrepôt frigorifique,vocabulary
the storage room,le débarras ('day-bar-rah'; each syllable gets almost the same emphasis); This is a small room in a house where one stores bulky items.; se débarrasser = to get rid of something,vocabulary
the laundry room,la buanderie ('boo-ahn-dree'),vocabulary
the garage,le garage,vocabulary
the attic,le grenier, vocabulary
a room that was made out of an attic with sloping walls,la mansarde,vocabulary
a leak (of water),une fuite (d'eau),vocabulary
water dammage,le dégâts des eaux,vocabulary
burglary,le cambriolage,vocabulary
on the ground floor,AU rez de chaussée; Use AU for any floor.; la chaussée = the part of the road where the cars actually drive,vocabulary
on the first floor,AU premier étage; typically written as: au 1ème étage; This means an American second floor.,vocabulary
I live on the 4th floor.,J'habite AU 4ème étage.; NB: étage is very close to the word for a shelf (une étagère),vocabulary
on the top floor,AU dernier étage; NB: dernier/dernière (m/f): When placed before the noun it means the last in a series but when placed after the noun it means the previous one.,vocabulary
On which floor do you live?,AU quel étage habitez-vous?,vocabulary
the floors of the building,les niveaux du bâtiment,vocabulary
This room opens into a bedroom.,Cette salle DONNE DANS une chambre.; DONNER + DANS is a common way talk about adjoining spaces in a building.,vocabulary
The hallways leads to the bedrooms.,Le couloir DONNE SUR les chambres.,vocabulary
The balcony overlooks a large boulevard.,Le balcon DONNE DANS SUR un grand boulevard.; In this case we cannot use only DONNER + DANS. We also add SUR because we are looking down onto a street instead of simply opening up to another room on the same level.,vocabulary
The veranda opens to the garden.,La véranda donne accès à le jardin.; DONNER + ACCÈS + À is a common way to talk about a space that overlooks or opens into another space.,vocabulary
to have access (to a home or computer),avoir accèss À quelque chose,verbs
It's easy to access entertainment (in a city).,Il est facile d’accéder au divertissement (en ville).,vocabulary
an elevator + an escalator,un ascenseur ('ah-san-sir') + un escalier mécanique/roulant; NB: un escalier = a stair,vocabulary
the stairs + a stairwell,un escalier + des escaliers; Generally the plural form is not used. Default to the singular (un escalier) which means a grouping of stairs. The only time you use the plural is when you are talking about the area as a room e.g. stairwell,vocabulary
the railing (for stairs),la rambarde / la balustrade; I think la balustrade specifically refers to a railing when it is supported by balusters like on a curving or independent stairs.,vocabulary
the balcony,le balcon,vocabulary
the terrace,la terrasse; NB: salon de jardin is different - it is a patio with furniture.,vocabulary
the roof,le toit ('twa'),vocabulary
the gutter,le gouttière,vocabulary
the chimney,le cheminée; This is the same word for fireplace.,vocabulary
an antenna (on the roof of a building),une antenne,vocabulary
the shutter,le volet; les volets bleus = the blue shutters; NB: des rideaux is another word for shutters,vocabulary
the window,la fenêtre (foo-net),vocabulary
the curtain / the curtains,le rideau / les rideaux; This is the same word used for shower curtain.,vocabulary
the gate (of a fence around a yard or building),le portail,vocabulary
a fence (typically in public spaces),une clôture (literally: an enclosure) OR une barrière (literally: a barrier),vocabulary
